Наименование;Категории
Коэффициент насыщения трансферрина железом (включает определение железа и ЛЖСС);C
Взятие капиллярной крови;C
Вакцина АДС-М /анатоксин 1 мл/2 дозы, ампулы №10;C
Микроскопическое исследование секрета предстательной железы;C
Ферритин;C
Глюкоза в разовой порции мочи;C
Получение соскоба из уретры;C
Холестерин липопротеидов очень низкой плотности (ЛПОНП), (включает определение триглицеридов);C
Микрореакция на сифилис, полуколичественно (RPR);C
"Скорость клубочковой фильтрации (CKD-EPI - взрослые/формула Шварца - дети; включает определение креатинина)";C
